,band_name,fans,formed,origin,split,style
2632,Alaskan,10,2008,Canada,-,Sludge
2633,Alpine Fault,10,2005,Australia,2005,Melodic progressive
2634,Alunah,10,2006,United Kingdom,-,"Doom,Stoner"
2635,Andras,10,1994,Germany,1994,"Black,Pagan black"
2636,Anomalie,10,2011,Austria,-,"Black,Post-metal"
2637,Atrocious Abnormality,10,2006,USA,2006,Brutal death
2638,Autumn's Dawn,10,2013,Australia,-,Depressive black
2639,Betzefer,10,1997,Israel,1997,"Death,Sludge"
2640,Blaakyum,10,1995,Lebanon,-,"Doom,Thrash,Heavy,Progressive"
2641,Brimstone Coven,10,2011,USA,2011,"Doom,Stoner rock"
2642,Casketgarden,10,1998,Hungary,2012,Thrash
2643,Catalepsia,10,2005,Latvia,2005,Gothic doom
2644,Cautiva,10,2007,Spain,-,"Thrash,Progressive"
2645,Celestial Crown,10,1999,Estonia,1999,"Black,Gothic doom"
2646,Cnoc An Tursa,10,2006,United Kingdom,-,"Folk,Black"
2647,Cult Of Herodias,10,2012,USA,2012,Doom
2648,D'espairsRay,10,1999,Japan,2011,"Industrial,J rock"
2649,Dark At Dawn,10,1993,Germany,1993,Power
2650,Dawn Of Azazel,10,1997,New Zealand,-,Death
2651,Dawn Of Disease,10,2003,Germany,2003,Death
2652,Dawnless,10,2003,Switzerland,-,"Heavy,Power"
2653,Death Fetishist,10,2015,USA,2015,Psychedelic black
2654,Dee Snider,10,1997,USA,-,Heavy
2655,Defiled,10,1992,Japan,1992,Brutal death
2656,Defleshed,10,1991,Sweden,2005,"Death,Thrash"
2657,Demisery,10,2011,USA,2011,Death
2658,Diathra,10,1995,Belarus,-,"Doom,Gothic"
2659,Diocletian,10,2004,New Zealand,2004,"Black,Death"
2660,Disentomb,10,2009,Australia,-,Brutal death
2661,Disforia,10,2007,USA,2007,"Power,Progressive"
2662,Disharmonic Orchestra,10,1987,Austria,-,"Death,Grindcore,Avantgarde,Progressive"
2663,Dissenter,10,1989,Poland,1989,Brutal death
2664,Divine Empire,10,1997,USA,-,"Death,Thrash"
2665,Dreamaker,10,2003,Spain,2003,"Power,Thrash"
2666,Dreaming Dead,10,2006,USA,-,"Death,Thrash"
2667,Dyrathor,10,2006,Germany,2006,Pagan folk
2668,Dyscordia,10,2010,Belgium,-,Progressive
2669,Dysrhythmia,10,1998,USA,1998,Technical progressive
2670,Ebonylake,10,1997,United Kingdom,-,"Avantgarde,Black"
2671,Embryonic Devourment,10,2002,USA,2002,"Brutal death,Grindcore"
2672,Emeth,10,1997,Belgium,-,"Death,Brutal death,Technical death"
2673,Eternal Gray,10,2001,Israel,2001,"Technical death,Melodic death"
2674,Fall Of Serenity,10,1998,Germany,-,"Gothenburg,Death"
2675,Faster Pussycat,10,1986,USA,1986,"Hard rock,Glam"
2676,Fjorsvartnir,10,2007,Denmark,-,Melodic black
2677,Gadget,10,1999,Sweden,1999,Grindcore
2678,Gates Of Winter,10,2003,Canada,-,Symphonic progressive
2679,Geezer,10,1985,USA,1985,"Heavy,Industrial heavy"
2680,Ghost Machinery,10,2002,Finland,-,Power
2681,Girugämesh,10,2003,Japan,2003,"J rock,Alternative,Power"
2682,Godkiller,10,1994,Monaco,-,"Death,Black,Industrial black,Electronic,Metal"
2683,Grave Flowers,10,1993,Sweden,1993,Doom
2684,Guillotine,10,1995,Sweden,-,Thrash
2685,Halloween,10,1981,USA,1981,Heavy
2686,Heidra,10,2006,Denmark,-,Viking folk
2687,Hollow Haze,10,2003,Italy,2003,Progressive heavy
2688,Irreversible Mechanism,10,2012,Belarus,-,"Technical death,Symphonic death"
2689,Ivory Tower,10,1996,Germany,1996,"Progressive,Power"
2690,Kabát,10,1983,Czech Republic,-,"Thrash,Melodic heavy,Hard rock"
2691,Lana Lane,10,1995,USA,1995,Progressive
2692,Lay Down Rotten,10,1999,Germany,2015,Death
2693,Light Bearer,10,2010,United Kingdom,2010,"Post-metal,Sludge"
2694,Livsnekad,10,2007,Sweden,2012,"Black,Doom"
2695,Lord Dying,10,2010,USA,2010,Sludge
2696,Luciferian Light Orchestra,10,2014,Sweden,-,Psychedelic rock
2697,Ludicra,10,1998,USA,1998,Black
2698,Lunaris,10,1998,Norway,-,Progressive black
2699,McAuley Schenker Group,10,1986,Germany,1986,"Hard rock,Glam"
2700,Miasmal,10,2007,Sweden,-,Death
2701,Misery Loves Co.,10,1993,Sweden,1993,"Industrial,Alternative"
2702,Monolord,10,2013,Sweden,-,"Stoner,Doom"
2703,Mortillery,10,2008,Canada,2008,Thrash
2704,Morton,10,2009,Ukraine,-,"Heavy,Power"
2705,Mythological Cold Towers,10,1994,Brazil,1994,Doom
2706,Neuromist,10,2004,Moldova,-,Progressive death
2707,Night Of Suicide,10,2005,The Netherlands,2005,Funeral doom
2708,Nine Treasures,10,2011,China,-,Folk
2709,Noisem,10,2013,USA,2013,"Death,Thrash"
2710,Nordheim,10,2006,Canada,-,"Blackened folk,Melodic death"
2711,Northlane,10,2009,Australia,2009,Progressive metalcore
2712,Opprobrium,10,1999,USA,-,"Death,Thrash"
2713,Orakle,10,1994,France,1994,"Atmospheric black,Avantgarde"
2714,Ortega,10,2007,The Netherlands,-,"Doom,Sludge"
2715,Outcast,10,1998,France,1998,"Progressive thrash,Progressive death"
2716,Potentiam,10,1997,Iceland,-,"Avantgarde black,Blackened death,Suomi"
2717,Prey For Nothing,10,2005,Israel,2005,Melodic death
2718,Razor Of Occam,10,1998,Australia,-,"Black,Thrash"
2719,Satura,10,2008,Iran,2008,"Metalcore,Groove thrash"
2720,Scream Silence,10,1998,Germany,-,Gothic
2721,Secrets Of The Sky,10,2010,USA,2010,"Black,Doom"
2722,Sight Of Emptiness,10,2005,Costa Rica,-,Gothenburg
2723,Syn Ze ?ase Tri,10,2007,Romania,2007,Symphonic black
2724,Tales Of Dark...,10,2001,Serbia,-,"Death doom,Gothic"
2725,The Interbeing,10,2006,Denmark,2006,Industrial
2726,The Poodles,10,2005,Sweden,-,"Glam,Melodic heavy,Hard rock"
2727,The Resistance,10,2011,Sweden,2011,Death
2728,Thränenkind,10,2007,Germany,-,"Black,Post-punk"
2729,Twilight,10,2004,USA,2004,Black
2730,Valient Thorr,10,2000,USA,-,Heavy
2731,Waldgeflüster,10,2005,Germany,2005,Black
2732,Waning,10,2007,Sweden,2016,Progressive black
2733,Wind Rose,10,2009,Italy,2009,"Progressive,Power"
2734,Within Y,10,2002,Sweden,-,Melodic death
2735,Abandoned,9,1999,Germany,1999,Thrash
2736,Abidetherein,9,2010,Syria,-,"Black,Folk"
2737,Abscess,9,1994,USA,1994,Death
2738,Acid Reign,9,1985,United Kingdom,-,Thrash
2739,Afgrund,9,2006,Sweden,2006,"Grindcore,Crust punk"
2740,Alpha Tiger,9,2007,Germany,-,"Thrash,Power"
2741,Anup Sastry,9,2012,USA,2012,"Progressive,Djent,Instrumental"
2742,Arbor,9,2011,USA,-,"Doom,Folk,Progressive"
2743,Arrow Haze,9,2011,Belgium,2011,Hard rock
2744,Arsafes,9,2009,Russia,-,"Extreme progressive,Industrial"
2745,As You Drown,9,2001,Sweden,2001,"Death,Deathcore"
2746,Bare Infinity,9,2003,Greece,-,Symphonic power
2747,Beneath,9,2007,Iceland,2007,Technical death
2748,Cadavrul,9,2005,Romania,-,Death
2749,Cangaço,9,2010,Brazil,2010,Progressive death
2750,Cans,9,2003,Sweden,-,Heavy
2751,Cardiant,9,2000,Finland,2000,Power
2752,Carnophage,9,2006,Turkey,-,"Technical death,Brutal death"
2753,Catharsis,9,1996,Russia,1996,"Doom,Neoclassical power"
2754,Celestial Season,9,1991,The Netherlands,-,"Death,Doom,Stoner"
2755,Chain Reaction,9,2002,Poland,2002,Groove thrash
2756,Chris Caffery,9,2003,USA,-,Progressive power
2757,Confessor,9,1986,USA,1986,Doom
2758,Crown,9,2011,France,-,"Doom,Sludge"
2759,Diminished,9,2005,USA,2005,"Brutal death,Grindcore"
2760,Dirge Within,9,2007,USA,2013,"Thrash,Metalcore"
2761,Discordance Axis,9,1992,USA,1992,Grindcore
2762,Divlje Jagode,9,1976,"Bosnia and Herzegovina, Croatia",-,"Heavy,Hard rock"
2763,Domovoyd,9,2010,Finland,2010,Psychedelic stoner
2764,Dotma,9,2005,Finland,-,Symphonic power
2765,Drautran,9,1996,Germany,1996,Black
2766,Ebony Ark,9,2002,Spain,-,"Power,Progressive"
2767,Echoterra,9,2007,USA,2007,Symphonic
2768,Ecnephias,9,1996,Italy,-,"Blackened death,Doom,Gothic death"
2769,Eden Circus,9,2010,Germany,2010,"Alternative,Progressive,Post-metal"
2770,Emir Hot,9,2007,Bosnia and Herzegovina,-,Progressive
2771,Enthrallment,9,1998,Bulgaria,1998,Brutal death
2772,Eudaimony,9,2007,Germany,-,"Post-metal,Black"
2773,Evil Invaders,9,2007,Belgium,2007,"Speed,Thrash"
2774,Exsecratus,9,2004,Finland,2013,"Melodic death,Gothic"
2775,Fogalord,9,2007,Italy,2007,"Power,Symphonic"
2776,Graves At Sea,9,2002,USA,-,"Doom,Sludge"
2777,Heir Apparent,9,1983,USA,1983,Progressive
2778,Hevisaurus,9,2009,Finland,-,"Heavy,Power"
2779,Hjarnidaudi,9,2005,Norway,2005,Drone doom
2780,Hope For The Dying,9,2006,USA,-,Progressive death
2781,Horde,9,1994,Australia,1994,Black
2782,Human Mincer,9,1996,Spain,-,Brutal death
2783,Icon & The Black Roses,9,1999,Portugal,1999,Gothic
2784,Illuminandi,9,1998,Poland,-,Gothic folk
2785,Inner Sanctum,9,2006,India,2006,"Death,Thrash"
2786,Innosense,9,2005,Greece,-,Melodic progressive
2787,Iris,9,1977,Romania,1977,Hard rock
2788,Japanische Kampfhörspiele,9,1998,Germany,-,Grindcore
2789,Jucifer,9,1993,USA,1993,"Alternative rock,Sludge,Alternative,Noise"
2790,Khthoniik Cerviiks,9,2013,Germany,-,"Black,Death"
2791,Latitudes,9,2006,United Kingdom,2006,"Post-metal,Sludge"
2792,Los Random,9,2009,Argentina,-,"Progressive,Avantgarde"
2793,Loss (USA),9,2003,USA,2003,Funeral doom
2794,Mastercastle,9,2008,Italy,-,Heavy
2795,Memory Garden,9,1992,Sweden,1992,"Heavy,Doom"
2796,Moby Dick,9,1980,Hungary,-,Thrash
2797,Moonlight Agony,9,1999,Sweden,1999,Power
2798,Mordred,9,1984,USA,-,"Thrash,Funk rock"
2799,Mortals,9,2009,USA,2009,"Sludge,Hardcore,Blackened sludge,Punk"
2800,Naðra,9,2008,Iceland,-,Black
2801,Narrow House,9,2008,Ukraine,2008,"Funeral doom,Doom"
2802,Nemertines,9,2009,Russia,-,"Progressive math,Djent"
2803,Nhor,9,2009,United Kingdom,2009,"Atmospheric black,Doom,Ambient,Folk"
2804,Nucleus Torn,9,1997,Switzerland,-,"Alternative,Neofolk"
2805,Oak Pantheon,9,2011,USA,2011,"Melodic black,Post-metal"
2806,Oracles,9,2014,Belgium,-,"Melodic death,Symphonic"
2807,Ordinance,9,2009,USA,2009,"Progressive death,Technical death"
2808,Paganizer,9,1998,Sweden,-,Death
2809,Pandemia,9,1995,Czech Republic,1995,Death
2810,Pantheon I,9,2002,Norway,-,Black
2811,Pantommind,9,1993,Bulgaria,1993,Progressive
2812,Rebel Meets Rebel,9,1999,USA,2004,"Heavy,Country"
2813,Ribspreader,9,2002,Sweden,2002,Death
2814,Sacred Oath,9,1985,USA,-,"Us power,Heavy"
2815,Samsara Blues Experiment,9,2007,Germany,2007,Stoner
2816,Satyrian,9,2004,The Netherlands,-,Gothic
2817,Savn,9,2013,Norway,2013,Symphonic gothic
2818,Sole Remedy,9,1998,Finland,-,Atmospheric progressive
2819,Sorcerer,9,1988,Sweden,1988,Epic doom
2820,Sortilège,9,1981,France,1986,Heavy
2821,Soulitude,9,2006,Spain,2006,Power
2822,Stille Volk,9,1994,France,-,Medieval folk
2823,Subversion,9,2008,United Kingdom,2008,"Melodic death,Symphonic,Djent"
2824,Success Will Write Apocalypse Across The Sky,9,2006,USA,-,Deathgrind
2825,Taak,9,2005,Estonia,2005,Doom
2826,Terhen,9,2004,Finland,-,Atmospheric doom
2827,The Bereaved,9,1998,Sweden,1998,Gothenburg
2828,The Crest,9,1996,Norway,2010,"Gothic,Gothic rock"
2829,The Graviators,9,2009,Sweden,2009,"Stoner,Doom"
2830,Thee Orakle,9,2004,Portugal,2013,"Progressive death,Gothic"
2831,Timeghoul,9,1987,USA,1987,Progressive death
2832,Uada,9,2014,USA,-,Black
2833,Vengeful,9,2003,Canada,2003,Technical death
2834,Vermin Womb,9,2014,USA,-,"Death,Grindcore"
2835,Victory,9,1984,Germany,1984,Heavy
2836,Visigoth,9,2010,USA,-,"Heavy,Power"
2837,Winterhymn,9,2010,USA,2010,Folk
2838,Aberrant Vascular,8,2003,Finland,-,"Avantgarde,Symphonic"
2839,Acacia,8,2012,Sweden,2012,"Black,Doom"
2840,Advent Of Bedlam,8,2009,Costa Rica,-,"Melodic death,Death"
2841,Age Of Taurus,8,2009,United Kingdom,2009,Doom
2842,Agrimonia,8,2005,Sweden,-,"Post-metal,Sludge,Crust punk"
2843,Akroma,8,2003,France,2003,"Progressive black,Symphonic black"
2844,Aldious,8,2008,Japan,-,Power
2845,Almyrkvi,8,2014,Iceland,2014,Black
2846,Another Messiah,8,2003,The Netherlands,2009,"Post-metal,Doom"
2847,Apostasy,8,2000,Sweden,2000,Black
2848,Arida Vortex,8,1998,Russia,-,Power
2849,Asylum Pyre,8,2003,France,2003,"Progressive,Power"
2850,Bane Of Winterstorm,8,2009,Australia,-,Symphonic power
2851,Below The Sun,8,2012,Russia,2012,Funeral doom
2852,Bestia,8,2000,Estonia,-,"Blackened death,Pagan black"
2853,Black Fate,8,1990,Greece,1990,"Power,Progressive"
2854,Born From Pain,8,1997,The Netherlands,-,"Hardcore,Metalcore"
2855,Britny Fox,8,1986,USA,1986,"Hard rock,Glam"
2856,Cenotaph,8,1989,Mexico,2002,Death
2857,Ceremonial Perfection,8,2007,Estonia,2007,Melodic death
2858,Clandestine Blaze,8,1998,Finland,-,Black
2859,Consciousness Removal Project,8,2004,Finland,2004,Post-metal
2860,Coram Lethe,8,1999,Italy,-,Melodic death
2861,Crimson Swan,8,2010,Germany,2010,"Gothic doom,Death doom"
2862,Crossfire,8,1998,Turkey,-,"Power,Thrash"
2863,Crypt Sermon,8,2013,USA,2013,Doom
2864,Dagor Dagorath,8,2003,Israel,-,"Symphonic black,Death"
2865,Dark Sarah,8,2012,Finland,2012,"Gothic,Symphonic"
2866,Darkend,8,2006,Italy,-,Symphonic black
2867,Deathbound,8,1995,Finland,1995,"Death,Grindcore"
2868,Deivos,8,1997,Poland,-,Death
2869,Dephosphorus,8,2008,Greece,2008,"Blackened death,Grindcore"
2870,Descend Into Despair,8,2010,Romania,-,Funeral doom
2871,Destrose,8,2005,Japan,2005,Heavy
2872,Destructor,8,1984,USA,-,"Us power,Thrash"
2873,Devathorn,8,2002,Greece,2002,Black
2874,Diskord,8,1999,Norway,-,"Progressive death,Technical death"
2875,Dragon Guardian,8,2006,Japan,2006,Symphonic power
2876,Drone,8,2004,Germany,-,Nu thrash
2877,Dusk,8,1993,USA,1993,Death doom
2878,E-an-na,8,2014,Romania,-,Folk
2879,Enid,8,1997,Germany,1997,Symphonic black
2880,Ensoph,8,1997,Italy,-,"Avantgarde,Gothic"
2881,Epizod,8,1988,Bulgaria,1988,Heavy
2882,Evenfall,8,1997,Italy,-,Gothic
2883,Fairytale Abuse,8,1995,Denmark,1995,Melodic black
2884,Fear Of God,8,1989,USA,1996,Thrash
2885,Fit For An Autopsy,8,2008,USA,2008,Deathcore
2886,Fleshgore,8,2000,Ukraine,-,Brutal death
2887,Full Of Hell,8,2009,USA,2009,"Grindcore,Hardcore,Punk"
2888,Gallows End,8,2007,Sweden,-,Heavy
2889,Gaza,8,2004,USA,2004,Grindcore
2890,Gothmog,8,2005,Spain,2012,"Melodic black,Symphonic black"
2891,Greymachine,8,2009,United Kingdom,2009,"Experimental industrial,Avantgarde"
2892,Hacktivist,8,2011,United Kingdom,-,"Nu,Djent,Rap"
2893,Hansen & Friends,8,2016,Germany,2016,"Heavy,Power"
2894,Heliosaga,8,2010,USA,-,Symphonic power
2895,Hellbringer,8,2010,Australia,2010,"Thrash,Speed"
2896,Hellish Crossfire,8,2002,Germany,-,Blackened thrash
2897,Helms Alee,8,2007,USA,2007,"Sludge,Noise rock,Post-hardcore"
2898,Horisont,8,2006,Sweden,-,Hard rock
2899,I Am I,8,2012,United Kingdom,2012,"Heavy,Power"
2900,Imagika,8,1993,USA,2011,"Thrash,Us power"
2901,Imperial Crystalline Entombment,8,2003,USA,2003,Black
2902,Infected Rain,8,2008,Moldova,-,Nu
2903,Inverloch,8,2011,Australia,2011,Death doom
2904,Invocator,8,1986,Denmark,-,"Speed,Technical thrash"
2905,Jack Frost,8,1989,Austria,1989,"Doom,Gothic doom"
2906,Kamijo,8,2013,Japan,-,"Symphonic power,J rock"
2907,Karybdis,8,2009,United Kingdom,2009,"Melodic death,Thrash"
2908,Kill The Client,8,2002,USA,-,Grindcore
2909,Kingfisher Sky,8,2001,The Netherlands,2001,"Gothic,Progressive rock"
2910,Lyria,8,2012,Brazil,-,"Symphonic,Alternative"
2911,Lyzanxia,8,1996,France,1996,Thrash
2912,Manimal,8,2001,Sweden,-,Power
2913,Mares Of Thrace,8,2009,Canada,2009,"Sludge,Doom"
2914,Marriages,8,2011,USA,-,Alternative
2915,Martyrdöd,8,2001,Sweden,2001,"Crust punk,D-beat"
2916,Masacre (COL),8,1988,Colombia,-,Death
2917,May Result,8,1995,Serbia,1995,Black
2918,Melted Space,8,2007,France,-,"Symphonic,Ambient,Neoclassical"
2919,Mirzadeh,8,2000,Finland,2000,Melodic black
2920,Moss,8,2000,United Kingdom,-,"Drone doom,Doom,Sludge"
2921,My Lament,8,2002,Belgium,2002,"Gothic doom,Death doom"
2922,Nachtgeschrei,8,2006,Germany,-,Folk
2923,Natan,8,2002,Belgium,2002,Pagan black
2924,Neglected Fields,8,1995,Latvia,-,Technical death
2925,Nehëmah,8,1992,France,1992,Black
2926,Oath To Vanquish,8,2001,Lebanon,-,"Black,Death"
2927,Obsidian Gate,8,1994,Germany,1994,Symphonic black
2928,Phazm,8,2003,France,-,"Death ',N',Roll"
2929,Place Of Skulls,8,2000,USA,2000,Doom
2930,Plague Widow,8,2011,USA,-,Deathgrind
2931,Platitude,8,1995,Sweden,1995,Neoclassical power
2932,Primitive Graven Image,8,2006,United Kingdom,-,Black
2933,Putridity,8,2005,Italy,2005,Brutal death
2934,Ravage,8,1995,USA,-,Heavy
2935,Rebaelliun,8,1998,Brazil,1998,Death
2936,Recueil Morbide,8,2000,France,-,Brutal death
2937,Red Descending,8,2003,Australia,2003,Melodic death
2938,Resurrected,8,1993,Germany,-,Brutal death
2939,Ross The Boss,8,2006,USA,2006,"Heavy,Us power"
2940,S.D.I.,8,1986,Germany,-,Speed
2941,Sannhet,8,2010,USA,2010,Experimental black
2942,Sarissa,8,1985,Greece,-,"Heavy,Power,Progressive"
2943,Sinmara,8,2008,Iceland,2008,Black
2944,Sister,8,2006,Sweden,-,Glam
2945,Slugathor,8,1999,Finland,1999,Death
2946,Slumpark Correctional,8,2003,Syria,-,"Death,Thrash"
2947,Sorcier Des Glaces,8,1997,Canada,1997,Black
2948,Southern Cross,8,2001,Canada,-,"Progressive,Progressive power"
2949,Space Eater,8,2004,Serbia,2004,Thrash
2950,Spidkilz,8,2010,Italy,-,"Speed,Heavy,Thrash"
2951,Spirit Caravan,8,1996,USA,1996,"Doom,Stoner"
2952,Stabat Mater,8,2001,Finland,-,Funeral doom
2953,Tantara,8,2009,Norway,2009,Thrash
2954,Target,8,1986,Belgium,1990,Progressive thrash
2955,Tau Cross,8,2014,United Kingdom,2014,"Heavy,Crust,Punk"
2956,Thaw,8,2010,Poland,-,"Experimental black,Ambient noise"
2957,The Final Harvest,8,2007,Finland,2007,"Thrash,Melodic death"
2958,The Kindred,8,2013,Canada,-,Progressive
2959,The Neologist,8,2009,USA,2009,Melodic death
2960,The Oath,8,2012,Germany,2014,"Doom,Hard rock"
2961,The Secret,8,2003,Italy,2003,"Black,Grindcore,Metalcore"
2962,The Wounded Kings,8,2005,United Kingdom,2016,Doom
2963,The Zenith Passage,8,2012,USA,2012,Technical death
2964,Thrashless,8,2010,Estonia,-,Thrash
2965,Twisted Tower Dire,8,1995,USA,1995,Us power
2966,Unseen Terror,8,1986,United Kingdom,1990,"Death,Thrash,Grindcore"
2967,Urkraft,8,1995,Denmark,1995,"Melodic death,Thrash"
2968,VI,8,2007,France,-,Black
2969,Vola,8,2005,Denmark,2005,"Djent ,Progressive,Progressive rock"
2970,Volahn,8,2003,USA,-,Black
2971,Volturyon,8,2005,Sweden,2005,Death
2972,Vorum,8,2006,Finland,-,Death
2973,Way To End,8,2006,France,2006,Avantgarde black
2974,White Empress,8,2013,USA,-,Extreme symphonic
2975,Winterage,8,2008,Italy,2008,"Power,Symphonic"
2976,Wolfbrigade,8,1995,Sweden,-,Crust punk
2977,X-Panda,8,2009,Estonia,2009,"Progressive,Jazz fusion"
2978,Young And In The Way,8,2009,USA,-,"Black,Crust,Punk"
2979,Zandelle,8,1996,USA,1996,"Heavy,Power"
2980,Zuul Fx,8,2003,France,-,"Death,Thrash"
2981,?,7,2012,Iceland,2012,"Depressive black,Doom"
2982,0 X í S T,7,2008,Finland,2016,Death doom
2983,7th Reign,7,2005,Canada,2005,Progressive power
2984,A Sense Of Gravity,7,2011,USA,-,Progressive math
2985,Abonos,7,1999,Serbia,1999,Gothic
2986,Abused Majesty,7,1998,Poland,-,"Symphonic black,Death"
2987,Adastreia,7,2004,United Kingdom,2004,"Gothic,Symphonic"
2988,ADX,7,1982,France,-,Speed
2989,Aegaeon,7,2008,USA,2008,Deathcore
2990,Aethyr,7,2014,Spain,-,"Melodic death,Folk"
2991,After All,7,1987,Belgium,1987,Thrash
2992,Ajdath,7,1995,Jordan,-,Death
2993,Alister,7,1999,Serbia,1999,"Thrash,Heavy"
2994,Angeldark,7,2007,Spain,-,"Gothic,Symphonic"
2995,Anthropia,7,2003,France,2003,Progressive
2996,Archivist,7,2015,,-,"Atmospheric black,Post-metal"
2997,Ariadna Project,7,1999,Argentina,1999,Power
2998,Asgaard,7,1994,Poland,-,Experimental black
2999,Ashbringer,7,2013,USA,2013,Atmospheric black
3000,Astral Sleep,7,2004,Finland,-,"Death,Atmospheric doom"
3001,Atomikylä,7,2011,Finland,2011,"Psychedelic doom,Drone"
3002,Atra Vetosus,7,2011,Australia,-,Melodic black
3003,Bakos Attila,7,2012,Hungary,2012,Progressive
3004,Bast,7,2008,United Kingdom,-,"Black,Doom,Sludge"
3005,Beatrik,7,1998,Italy,1998,"Black,Doom"
3006,Below,7,2012,Sweden,-,Epic doom
3007,Beltaine,7,1996,Czech Republic,1996,Pagan folk
3008,Black Moth,7,2010,United Kingdom,-,"Stoner rock,Doom,Stoner"
3009,Black Space Riders,7,2008,Germany,2008,"Progressive,Stoner"
3010,Bone Gnawer,7,2009,Sweden,2015,Death
3011,Bosse-De-Nage,7,2006,USA,2006,Black
3012,Brown Jenkins,7,2006,USA,2009,"Black,Doom"
3013,Burning Circle,7,2006,Serbia,2006,Progressive
3014,Celtachor,7,2007,Ireland,-,"Black,Celtic folk"
3015,Civilization One,7,2006,Germany,2006,Power
3016,Colosso,7,2011,Portugal,-,Death
3017,Comeback Kid,7,2000,Canada,2000,"Hardcore,Metalcore"
3018,Contradiction,7,1989,Germany,-,Thrash
3019,Corporation 187,7,1995,Sweden,1995,"Melodic death,Thrash"
3020,Corpsefucking Art,7,1993,Italy,-,Brutal death
3021,Crest Of Darkness,7,1995,Norway,1995,Black
3022,Crystalmoors,7,1995,Spain,-,"Celtic black,Pagan black"
3023,Cynthesis,7,2010,USA,2010,Progressive
3024,Cytotoxin,7,2010,Germany,-,Brutal death
3025,Darkflight,7,2000,Bulgaria,2000,"Black,Doom"
3026,Dawn Of Silence,7,2000,Sweden,-,Melodic heavy
3027,Daylight Misery,7,2008,Greece,2008,"Gothic,Death doom"
3028,Deadsquad,7,2006,Indonesia,-,"Brutal death,Technical death"
3029,Deep Mountains,7,2009,China,2009,"Atmospheric black,Folk"
3030,Devil,7,2009,Norway,-,"Doom,Heavy"
3031,Divinity Destroyed,7,1999,USA,1999,Progressive
3032,Dodecahedron,7,2006,The Netherlands,-,Black
3033,Dodsferd,7,2001,Greece,2001,Black
3034,Drakkar,7,1995,Italy,-,Power
3035,Drakum,7,2009,Spain,2009,Folk
3036,Draugr,7,2002,Italy,2013,"Melodic death,Pagan black"
3037,Dreadful Shadows,7,1993,Germany,1993,Gothic
3038,Edge Of Serenity,7,2007,The Netherlands,-,Melodic death
3039,Elixir,7,1983,United Kingdom,1983,"New,Wave,Of british heavy,Heavy"
3040,Elizium,7,1991,The Netherlands,-,"Doom,Gothic"
3041,Enemy Of Reality,7,2013,Greece,2013,Symphonic progressive
3042,Eternal Idol,7,2016,Italy,-,"Power,Symphonic,Heavy,Progressive"
3043,Fistula,7,1998,USA,1998,"Sludge,Drone doom"
3044,Flagitious Idiosyncrasy In The Dilapidation,7,2001,Japan,-,Grindcore
3045,Forgive Me,7,2009,Jordan,2009,Depressive black
3046,Fragile Vastness,7,2000,Greece,-,"Progressive,Progressive rock"
3047,Gnostic,7,2005,USA,2005,"Technical death,Technical thrash"
3048,Graveyard Dirt,7,1994,Ireland,-,"Death,Doom"
3049,Gridlink,7,2004,USA,2004,Technical grindcore
3050,Harlott,7,2006,Australia,-,Thrash
3051,Heaven Grey,7,1993,Latvia,1993,Gothic doom
3052,Hel,7,1994,Germany,2012,Pagan folk
3053,Ignivomous,7,2006,Australia,2006,Death
3054,Illuminata,7,2006,Austria,-,"Melodic power,Gothic"
3055,Immensity,7,2009,Greece,2009,Atmospheric doom
3056,Infernal Poetry,7,1996,Italy,2014,"Experimental death,Progressive death"
3057,Insanity,7,1985,USA,1985,Death
3058,Interitus,7,1993,Czech Republic,-,Symphonic
3059,Isvind,7,1993,Norway,1993,Black
3060,J.B.O.,7,1989,Germany,-,"Industrial,Comedy rock"
3061,Jacobs Dream,7,2000,USA,2000,"Us power,Progressive"
3062,Jig-Ai,7,2005,Czech Republic,-,"Death,Grindcore"
3063,Kadavar,7,2007,Italy,2007,Death
3064,KerecsenSólyom,7,2004,Hungary,-,Symphonic folk
3065,Lapis Lazuli,7,2005,Sweden,2005,Symphonic
3066,Legend,7,1978,USA,1979,"Heavy,Progressive rock"
3067,Litrosis,7,2010,Greece,2010,"Symphonic black,Extreme power"
3068,Logar's Diary,7,1998,Germany,-,Power
3069,Luctus,7,2001,Lithuania,2001,"Black,Thrash"
3070,Lumus,7,2009,USA,-,Symphonic power
3071,Lust Of Decay,7,1996,USA,1996,"Thrash,Brutal death"
3072,Lvcifyre,7,2007,United Kingdom,-,"Black,Death"
3073,Magnitude 9,7,1998,USA,1998,"Progressive,Power"
3074,Malice,7,1980,USA,-,"Us heavy,Power"
3075,Mastic Scum,7,1992,Austria,1992,Grindcore
3076,Messiah's Kiss,7,2001,Germany,-,Heavy
3077,Midnight Priest,7,2008,Portugal,2008,Heavy
3078,Moon,7,2007,Australia,-,Black
3079,Morost,7,2010,Slovenia,2010,Progressive death
3080,Mortal Decay,7,1991,USA,-,Brutal death
3081,Nibiru,7,2012,Italy,2012,"Psychedelic sludge,Drone"
3082,Nydvind,7,2000,France,-,Pagan black
3083,Odyssea,7,2004,Italy,2004,"Heavy,Power"
3084,Operatika Element,7,2002,USA,-,Symphonic power
3085,Palms,7,2011,USA,2011,"Post-rock,Post-metal"
3086,Posthumous Blasphemer,7,2001,Belarus,-,Technical death
3087,Poverty's No Crime,7,1991,Germany,1991,Progressive
